criminal_id,Gender,Age,Family_record,Fin_status,Education,Population,Likelihood,violent,non_violent
88,Male,35,No,Upper Class,Graduate,Urban,Less Likely,1,0
89,Male,22,No,Below Poverty,School dropout,Rural,Less Likely,0,2
90,Male,39,No,Below Poverty,School ,Rural,Neutral,1,1
91,Male,45,No,Below Poverty,School dropout,Rural,Less Likely,0,2
92,Male,27,Unknown,Lower Class, School ,Urban,Less Likely,0,2
93,Male,31,No,Lower Class,School,Urban,Very Likely,2,2
94,Male,33,No,Lower Class,School dropout,Rural,Less Likely,0,1
95,Male,29,Yes,Lower Class,School,Urban,Very Likely,3,0
96,Female,21,No,Below Poverty,School dropout,Rural,Less Likely,0,1
97,Female,44,No,Middle Class,Graduate,Urban,Less Likely,0,1
98,Male,37,Unknown,Middle Class,Graduate,Rural,Less Likely,0,2
99,Male,41,No,Upper Class,Post Graduate,Urban,Less Likely,0,2
100,Male,19,No,Below Poverty,School dropout,Rural,Less Likely,1,0
101,Male,22,No,Below Poverty,Illiterate,Rural,Less Likely,1,0
